file,k
2018-01-10_20_55_44.344929.pkl.zip,0
2018-01-12_18_58_31.723956.pkl.zip,0
2018-01-12_12_51_58.186557.pkl.zip,0
2018-01-11_11_10_11.790969.pkl.zip,0
2018-01-12_12_20_06.844570.pkl.zip,0
2018-01-12_20_40_22.171627.pkl.zip,0
2018-01-12_12_42_28.854495.pkl.zip,0
2018-01-11_11_32_45.962616.pkl.zip,0
2018-01-11_21_53_04.807605.pkl.zip,0
2018-01-12_16_11_43.570718.pkl.zip,0
2018-01-11_15_37_01.200671.pkl.zip,0
2018-01-11_17_59_36.719332.pkl.zip,0
2018-01-12_12_22_50.683479.pkl.zip,0
2018-01-11_12_24_16.131261.pkl.zip,0
2018-01-12_13_16_27.478027.pkl.zip,0
2018-01-12_20_12_52.985605.pkl.zip,0
2018-01-12_13_11_19.262972.pkl.zip,0
2018-01-11_15_50_12.370699.pkl.zip,0
2018-01-12_18_24_34.581495.pkl.zip,0
2018-01-11_17_06_09.286687.pkl.zip,0
2018-01-12_20_08_18.557281.pkl.zip,0
2018-01-11_20_32_42.776214.pkl.zip,0
2018-01-12_09_45_29.192210.pkl.zip,0
2018-01-11_20_34_13.146525.pkl.zip,0
2018-01-12_16_55_51.348346.pkl.zip,0
2018-01-11_16_07_39.944413.pkl.zip,0
2018-01-12_12_44_59.415447.pkl.zip,0
2018-01-11_18_49_59.504898.pkl.zip,0
2018-01-12_18_35_51.076045.pkl.zip,0
2018-01-12_10_51_02.106544.pkl.zip,0
2018-01-12_10_04_20.569272.pkl.zip,0
2018-01-11_20_25_35.958326.pkl.zip,0
2018-01-10_21_01_26.277880.pkl.zip,0
2018-01-11_16_05_55.629751.pkl.zip,0
2018-01-12_15_33_38.053886.pkl.zip,0
2018-01-12_18_26_05.318908.pkl.zip,0
2018-01-12_17_25_39.562580.pkl.zip,0
2018-01-12_19_53_31.782035.pkl.zip,0
2018-01-11_17_44_33.197183.pkl.zip,0
2018-01-11_18_34_14.020138.pkl.zip,0
2018-01-11_21_27_50.904388.pkl.zip,0
2018-01-11_14_48_57.063668.pkl.zip,0
2018-01-11_11_16_14.850214.pkl.zip,0
2018-01-11_20_12_12.163589.pkl.zip,0
2018-01-11_20_12_24.003263.pkl.zip,0
2018-01-11_11_17_01.341990.pkl.zip,0
2018-01-11_17_11_58.485191.pkl.zip,0
2018-01-11_11_09_14.531750.pkl.zip,0
2018-01-12_12_32_17.784151.pkl.zip,0
2018-01-12_10_59_09.074732.pkl.zip,0
2018-01-11_15_48_30.244631.pkl.zip,0
2018-01-12_10_59_19.795529.pkl.zip,0
2018-01-12_13_19_37.682885.pkl.zip,0
2018-01-11_17_53_09.242108.pkl.zip,0
2018-01-11_12_13_56.122897.pkl.zip,0
2018-01-12_09_30_52.318482.pkl.zip,0
2018-01-11_12_55_21.555315.pkl.zip,0
2018-01-12_19_31_59.180234.pkl.zip,0
2018-01-11_21_03_31.578533.pkl.zip,0
2018-01-11_19_39_34.743869.pkl.zip,0
2018-01-11_15_28_51.680408.pkl.zip,0
2018-01-11_19_06_20.949818.pkl.zip,0
2018-01-11_14_04_44.785727.pkl.zip,0
2018-01-11_14_19_21.974477.pkl.zip,0
2018-01-12_10_21_33.897722.pkl.zip,0
2018-01-11_13_52_20.813544.pkl.zip,0
2018-01-11_13_05_48.043672.pkl.zip,0
2018-01-12_10_13_57.418295.pkl.zip,0
2018-01-12_09_52_10.738248.pkl.zip,0
2018-01-12_13_16_04.992089.pkl.zip,0
2018-01-11_19_59_43.218514.pkl.zip,0
2018-01-10_21_03_20.831393.pkl.zip,0
2018-01-11_16_45_06.607265.pkl.zip,0
2018-01-11_12_05_51.717867.pkl.zip,0
2018-01-12_11_12_09.032059.pkl.zip,0
2018-01-11_19_17_17.046258.pkl.zip,0
2018-01-11_13_45_43.519248.pkl.zip,0
2018-01-11_12_43_11.897957.pkl.zip,0
2018-01-12_12_07_07.699864.pkl.zip,0
2018-01-11_15_04_46.691103.pkl.zip,0
2018-01-11_16_42_29.797954.pkl.zip,0
2018-01-12_15_59_30.357581.pkl.zip,0
2018-01-11_21_50_56.967660.pkl.zip,0
2018-01-11_14_56_38.112815.pkl.zip,0
2018-01-12_19_34_15.188000.pkl.zip,0
2018-01-11_20_50_38.459423.pkl.zip,0
2018-01-10_20_54_09.809358.pkl.zip,0
2018-01-10_20_49_36.566527.pkl.zip,0
2018-01-11_14_34_32.067161.pkl.zip,0
2018-01-12_14_05_03.284627.pkl.zip,0
2018-01-12_17_29_53.573900.pkl.zip,0
2018-01-11_18_22_06.259222.pkl.zip,0
2018-01-12_14_53_21.253711.pkl.zip,0
2018-01-12_11_19_20.316199.pkl.zip,0
2018-01-11_14_32_36.568030.pkl.zip,0
2018-01-12_14_09_01.181199.pkl.zip,0
2018-01-12_14_11_42.389830.pkl.zip,0
2018-01-11_12_19_28.223875.pkl.zip,0
2018-01-11_15_14_22.769977.pkl.zip,0
2018-01-11_14_09_22.486388.pkl.zip,0
2018-01-12_20_03_26.103651.pkl.zip,0
2018-01-11_13_51_49.184758.pkl.zip,0
2018-01-12_14_26_20.004506.pkl.zip,0
2018-01-11_21_35_47.254430.pkl.zip,0
2018-01-11_19_45_27.088522.pkl.zip,0
2018-01-12_18_07_18.948664.pkl.zip,0
2018-01-12_20_45_37.022310.pkl.zip,0
2018-01-10_21_40_07.760169.pkl.zip,0
2018-01-12_20_25_10.486048.pkl.zip,0
2018-01-11_21_07_33.280005.pkl.zip,0
2018-01-11_19_16_32.442233.pkl.zip,0
2018-01-11_15_58_14.988771.pkl.zip,0
2018-01-12_20_29_36.022948.pkl.zip,0
2018-01-12_15_34_57.224840.pkl.zip,0
2018-01-11_21_21_28.191456.pkl.zip,0
2018-01-11_22_02_23.543137.pkl.zip,0
2018-01-12_12_15_58.209089.pkl.zip,0
2018-01-12_16_07_47.573497.pkl.zip,0
2018-01-11_19_16_43.140291.pkl.zip,0
2018-01-12_12_59_10.685218.pkl.zip,0
2018-01-12_18_04_51.488190.pkl.zip,0
2018-01-11_10_15_59.981123.pkl.zip,0
2018-01-11_16_19_40.679584.pkl.zip,0
2018-01-11_21_57_35.601523.pkl.zip,0
2018-01-12_16_25_19.325538.pkl.zip,0
2018-01-11_10_04_55.587675.pkl.zip,0
2018-01-11_14_40_45.621451.pkl.zip,0
2018-01-12_09_36_29.162008.pkl.zip,0
2018-01-10_22_09_06.205489.pkl.zip,0
2018-01-11_19_57_07.947508.pkl.zip,0
2018-01-11_15_12_02.169216.pkl.zip,0
2018-01-11_17_42_52.612580.pkl.zip,0
2018-01-12_14_26_03.551041.pkl.zip,0
2018-01-12_10_28_54.338258.pkl.zip,0
2018-01-11_18_34_59.813212.pkl.zip,0
2018-01-10_21_00_13.539224.pkl.zip,0
2018-01-11_18_55_07.710137.pkl.zip,0
2018-01-12_16_19_36.226569.pkl.zip,0
2018-01-11_12_26_02.822958.pkl.zip,0
2018-01-12_09_25_06.165761.pkl.zip,0
2018-01-11_19_16_54.755919.pkl.zip,0
2018-01-12_15_23_32.461438.pkl.zip,0
2018-01-11_18_17_29.245967.pkl.zip,0
2018-01-11_18_01_05.796403.pkl.zip,0
2018-01-11_15_57_18.716863.pkl.zip,0
2018-01-11_19_38_40.529057.pkl.zip,0
2018-01-12_10_44_15.410343.pkl.zip,0
2018-01-11_18_43_17.093014.pkl.zip,0
2018-01-12_17_44_06.593479.pkl.zip,0
2018-01-11_00_40_17.498811.pkl.zip,0
2018-01-11_19_03_12.214712.pkl.zip,0
2018-01-11_20_05_17.956409.pkl.zip,0
2018-01-12_11_55_15.341186.pkl.zip,0
2018-01-12_16_16_40.443629.pkl.zip,0
2018-01-12_13_38_44.337670.pkl.zip,0
2018-01-11_16_36_35.575733.pkl.zip,0
2018-01-11_19_42_32.100294.pkl.zip,0
2018-01-11_17_32_31.256657.pkl.zip,0
2018-01-11_19_49_12.131658.pkl.zip,0
2018-01-11_19_05_18.055414.pkl.zip,0
2018-01-12_17_01_44.372488.pkl.zip,0
2018-01-12_16_04_57.938066.pkl.zip,0
2018-01-11_17_37_03.554470.pkl.zip,0
2018-01-11_20_22_25.236887.pkl.zip,0
2018-01-12_20_31_05.219627.pkl.zip,0
2018-01-11_18_20_18.719520.pkl.zip,0
2018-01-11_14_52_08.161474.pkl.zip,0
2018-01-11_18_44_02.684610.pkl.zip,0
2018-01-12_19_29_05.498675.pkl.zip,0
2018-01-12_11_40_50.858142.pkl.zip,0
2018-01-12_14_21_31.660508.pkl.zip,0
2018-01-12_11_04_03.865595.pkl.zip,0
2018-01-11_12_57_57.537947.pkl.zip,0
2018-01-12_15_01_21.098983.pkl.zip,0
2018-01-12_19_33_12.651750.pkl.zip,0
2018-01-11_11_19_28.991614.pkl.zip,0
2018-01-12_11_44_41.527796.pkl.zip,0
2018-01-10_21_13_40.549190.pkl.zip,0
2018-01-12_17_51_33.624539.pkl.zip,0
2018-01-11_15_56_19.635114.pkl.zip,0
2018-01-11_13_02_36.512324.pkl.zip,0
2018-01-11_12_08_48.825202.pkl.zip,0
2018-01-11_13_35_14.813483.pkl.zip,0
2018-01-11_18_41_19.258146.pkl.zip,0
2018-01-11_11_13_20.222751.pkl.zip,0
2018-01-12_14_49_22.032932.pkl.zip,0
2018-01-11_12_01_50.567931.pkl.zip,0
2018-01-12_11_10_44.537727.pkl.zip,0
2018-01-11_13_56_27.140088.pkl.zip,0
2018-01-11_00_46_34.574990.pkl.zip,0
2018-01-11_18_05_27.671555.pkl.zip,0
2018-01-11_16_11_09.606920.pkl.zip,0
2018-01-12_12_25_32.581971.pkl.zip,0
2018-01-11_19_06_45.116695.pkl.zip,0
2018-01-12_11_18_45.779710.pkl.zip,0
2018-01-12_18_25_10.103279.pkl.zip,0
2018-01-11_20_55_18.334646.pkl.zip,0
2018-01-11_11_46_05.440183.pkl.zip,0
2018-01-12_11_35_39.811032.pkl.zip,0
2018-01-11_15_57_40.102940.pkl.zip,0
2018-01-11_15_59_54.115976.pkl.zip,0
2018-01-12_10_52_01.368597.pkl.zip,0
2018-01-11_21_01_12.821333.pkl.zip,0
2018-01-12_18_28_15.943088.pkl.zip,0
2018-01-11_16_56_37.923637.pkl.zip,0
2018-01-11_20_39_24.562283.pkl.zip,0
2018-01-11_16_22_56.294289.pkl.zip,0
2018-01-12_13_55_03.203463.pkl.zip,0
2018-01-12_14_04_53.061422.pkl.zip,0
2018-01-12_20_44_08.557368.pkl.zip,0
2018-01-11_14_01_33.866178.pkl.zip,0
2018-01-11_11_21_20.512382.pkl.zip,0
2018-01-12_17_36_20.787888.pkl.zip,0
2018-01-11_20_18_18.575884.pkl.zip,0
2018-01-11_20_28_30.054614.pkl.zip,0
2018-01-11_17_26_25.942617.pkl.zip,0
2018-01-12_14_39_36.307209.pkl.zip,0
2018-01-12_16_10_10.762771.pkl.zip,0
2018-01-11_18_49_39.688087.pkl.zip,0
2018-01-12_20_43_45.472621.pkl.zip,0
2018-01-12_19_22_26.604600.pkl.zip,0
2018-01-11_12_59_18.355097.pkl.zip,0
2018-01-11_13_45_32.888164.pkl.zip,0
2018-01-11_15_30_50.838500.pkl.zip,0
2018-01-12_17_04_22.279449.pkl.zip,0
2018-01-11_10_30_13.190317.pkl.zip,0
2018-01-12_17_20_15.528293.pkl.zip,0
2018-01-11_16_18_48.478422.pkl.zip,0
2018-01-11_20_09_32.769544.pkl.zip,0
2018-01-11_13_14_49.757930.pkl.zip,0
2018-01-11_19_07_06.690080.pkl.zip,0
2018-01-10_21_24_16.948950.pkl.zip,0
2018-01-11_16_39_24.194509.pkl.zip,0
2018-01-11_10_44_02.193477.pkl.zip,0
2018-01-11_17_55_11.457005.pkl.zip,0
2018-01-12_19_35_45.657467.pkl.zip,0
2018-01-12_11_30_46.928160.pkl.zip,0
2018-01-11_18_10_37.299147.pkl.zip,0
2018-01-11_19_52_00.273578.pkl.zip,0
2018-01-12_09_49_52.688902.pkl.zip,0
2018-01-11_16_34_44.514928.pkl.zip,0
2018-01-12_11_50_35.815693.pkl.zip,0
2018-01-12_17_40_36.136945.pkl.zip,0
2018-01-12_09_28_39.947583.pkl.zip,0
2018-01-11_21_36_39.840352.pkl.zip,0
2018-01-12_19_30_51.302597.pkl.zip,0
2018-01-11_22_13_12.021143.pkl.zip,0
2018-01-12_19_33_22.093060.pkl.zip,0
2018-01-12_19_53_09.250261.pkl.zip,0
2018-01-12_14_45_48.812838.pkl.zip,0
2018-01-12_11_56_10.531330.pkl.zip,0
2018-01-12_17_02_07.120935.pkl.zip,0
2018-01-11_18_31_25.760412.pkl.zip,0
2018-01-12_11_56_21.534790.pkl.zip,0
2018-01-11_14_01_22.374610.pkl.zip,0
2018-01-11_12_03_15.339029.pkl.zip,0
2018-01-12_20_31_38.054853.pkl.zip,0
2018-01-12_14_23_09.660294.pkl.zip,0
2018-01-12_14_14_45.287152.pkl.zip,0
2018-01-11_16_34_11.671686.pkl.zip,0
2018-01-11_22_00_10.607138.pkl.zip,0
2018-01-12_20_34_13.436621.pkl.zip,0
2018-01-11_11_33_17.344459.pkl.zip,0
2018-01-12_18_42_40.535454.pkl.zip,0
2018-01-12_18_18_56.634837.pkl.zip,0
2018-01-12_11_35_50.388440.pkl.zip,0
2018-01-12_12_51_47.471013.pkl.zip,0
2018-01-11_13_25_51.326976.pkl.zip,0
2018-01-11_10_47_56.162717.pkl.zip,0
2018-01-11_17_31_02.412142.pkl.zip,0
2018-01-11_14_50_29.063756.pkl.zip,0
2018-01-11_13_46_30.179423.pkl.zip,0
2018-01-11_17_46_11.134236.pkl.zip,0
2018-01-11_16_00_05.810667.pkl.zip,0
2018-01-12_16_38_03.637989.pkl.zip,0
2018-01-12_20_20_54.595136.pkl.zip,0
2018-01-11_20_13_19.610866.pkl.zip,0
2018-01-12_13_18_18.773393.pkl.zip,0
2018-01-11_17_32_20.059140.pkl.zip,0
2018-01-11_19_24_18.685115.pkl.zip,0
2018-01-12_16_02_13.985954.pkl.zip,0
2018-01-12_13_55_14.326434.pkl.zip,0
2018-01-12_13_45_44.413459.pkl.zip,0
2018-01-11_13_47_13.099184.pkl.zip,0
2018-01-11_20_11_49.095656.pkl.zip,0
2018-01-12_11_17_41.995628.pkl.zip,0
2018-01-12_14_07_44.863236.pkl.zip,0
2018-01-12_17_57_16.867025.pkl.zip,0
2018-01-11_16_49_15.479025.pkl.zip,0
2018-01-11_21_51_07.776502.pkl.zip,0
2018-01-10_21_00_24.702795.pkl.zip,0
2018-01-11_21_24_09.808563.pkl.zip,0
2018-01-11_17_43_02.941002.pkl.zip,0
2018-01-12_19_42_11.549982.pkl.zip,0
2018-01-12_10_00_44.638944.pkl.zip,0
2018-01-12_16_42_26.337672.pkl.zip,0
2018-01-12_11_38_47.092766.pkl.zip,0
2018-01-12_12_43_52.056039.pkl.zip,0
2018-01-11_14_17_16.900878.pkl.zip,0
2018-01-12_18_25_55.239389.pkl.zip,0
2018-01-11_12_13_08.959980.pkl.zip,0
2018-01-11_17_34_32.582145.pkl.zip,0
2018-01-12_16_55_41.469162.pkl.zip,0
2018-01-11_15_29_12.980154.pkl.zip,0
2018-01-10_22_10_18.413672.pkl.zip,0
2018-01-11_11_44_15.180892.pkl.zip,0
2018-01-12_13_30_30.227984.pkl.zip,0
2018-01-12_10_05_38.804044.pkl.zip,0
2018-01-12_20_46_24.003544.pkl.zip,0
2018-01-11_18_24_26.816092.pkl.zip,0
2018-01-11_20_30_20.359644.pkl.zip,0
2018-01-12_19_24_00.593434.pkl.zip,0
2018-01-12_15_04_03.462965.pkl.zip,0
2018-01-12_20_17_56.885612.pkl.zip,0
2018-01-11_15_02_49.772416.pkl.zip,0
2018-01-11_13_37_56.583933.pkl.zip,0
2018-01-11_16_15_20.959485.pkl.zip,0
2018-01-11_19_36_03.553308.pkl.zip,0
2018-01-11_16_41_45.699927.pkl.zip,0
2018-01-11_15_25_11.436188.pkl.zip,0
2018-01-11_20_26_08.269091.pkl.zip,0
2018-01-12_19_01_31.045989.pkl.zip,0
2018-01-11_14_27_38.926278.pkl.zip,0
2018-01-12_13_29_44.957066.pkl.zip,0
2018-01-11_14_14_00.956115.pkl.zip,0
2018-01-11_10_42_25.560869.pkl.zip,0
2018-01-12_18_39_34.549049.pkl.zip,0
2018-01-11_10_42_36.600047.pkl.zip,0
2018-01-11_10_27_13.012899.pkl.zip,0
2018-01-12_19_50_04.804323.pkl.zip,0
2018-01-11_15_08_38.288782.pkl.zip,0
2018-01-12_10_05_27.812644.pkl.zip,0
