Wall time,Step,Value
1519826216.5103912,113425,-3.1730871200561523
1519826216.5695145,113440,-3.17069149017334
1519826216.6757157,113485,0.0573006272315979
1519827451.2568085,113505,1.842648983001709
1519827451.297888,113520,-1.2775295972824097
1519827451.3163989,113535,0.10915323346853256
1519827451.3250809,113545,-1.1607205867767334
1519827451.4319649,113590,0.0036902884021401405
1519828737.7729633,113610,-1.6832035779953003
1519828737.8521764,113670,-0.5780187249183655
1519828737.8565621,113680,-1.18361496925354
1519828737.858461,113685,-2.4638617038726807
1519828737.8755624,113695,1.903173565864563
1519830160.3286333,113750,-2.795090675354004
1519831693.4563408,113805,-4.3579864501953125
1519831693.4657588,113810,-1.5533742904663086
1519831693.4719298,113815,-2.9976816177368164
1519831693.5010626,113835,-0.8963701128959656
1519831693.5146909,113850,-3.748723030090332
1519831693.51713,113855,-2.9528403282165527
1519833223.9827611,113925,-4.3433427810668945
1519833223.9935036,113930,-1.3900866508483887
1519833224.0094175,113935,-0.42973604798316956
1519834781.816762,114030,-4.195377349853516
1519834781.8490202,114045,-1.4433200359344482
1519834781.868568,114060,-5.581325054168701
1519834781.8757977,114065,-0.8097527027130127
1519834781.9291625,114100,-6.05168342590332
1519836313.901424,114110,-5.767460823059082
1519837858.712092,114205,-3.6988515853881836
1519837858.7898455,114250,-5.653439998626709
1519837858.823392,114270,-5.779011249542236
1519837858.8267171,114275,-4.631274223327637
1519839413.3945365,114320,-5.3512282371521
1519839413.3963227,114325,-5.2596354484558105
1519839413.4115262,114340,-5.270395278930664
1519839413.4280698,114365,-6.359187126159668
1519839413.430348,114370,-6.385641574859619
1519839413.47383,114400,-5.753480434417725
1519840972.7615142,114450,-5.208850860595703
1519840972.7889755,114475,-3.4773647785186768
1519840972.805638,114495,-4.559640884399414
1519840972.816864,114500,-3.554969072341919
1519842510.921316,114515,-4.408397674560547
1519842510.932379,114520,-4.615222930908203
1519842510.970253,114545,-5.895714282989502
1519842511.0371137,114575,-5.863276481628418
1519842511.0389693,114580,-5.356426239013672
1519842511.0448198,114585,-5.03477668762207
1519844013.3658786,114610,-3.720489501953125
1519844013.388085,114625,-5.329781532287598
1519844013.3986673,114635,-5.597315788269043
1519845562.1410105,114720,-5.710632801055908
1519845562.2166462,114775,-6.248192310333252
1519845562.229649,114790,-6.36491584777832
1519845562.2523406,114800,-6.593549728393555
1519847125.2480495,114805,-5.793259143829346
1519847125.2927392,114840,-4.958688259124756
1519847125.348669,114860,-5.936548233032227
1519847125.3761535,114885,-6.084859848022461
1519847125.4127672,114895,-6.022845268249512
1519847125.4146914,114900,-5.5891642570495605
1519848665.7650146,114910,-6.115921497344971
1519848665.8325374,114960,-5.721431255340576
1519848665.843657,114970,-5.015470027923584
1519848665.8560047,114980,-5.123635292053223
1519850207.1514475,115040,-6.077543258666992
1519850207.1609182,115055,-3.758363723754883
1519850207.173878,115070,-4.762337684631348
1519850207.203353,115075,-4.271424770355225
1519850207.2602053,115100,-3.704930067062378
1519851758.256303,115105,-4.828413009643555
1519851758.2624307,115120,-4.6710333824157715
1519851758.2642267,115125,-3.683361291885376
1519851758.2755148,115135,-2.3332276344299316
1519851758.2931652,115140,-4.019692897796631
1519851758.3084457,115150,-4.118795394897461
1519851758.3689208,115185,-4.402704238891602
1519851758.4014516,115200,-3.563361167907715
1519853303.512586,115210,-4.681100845336914
1519853303.533002,115230,-5.036919116973877
1519853303.5583022,115235,-5.28947639465332
1519853303.5897849,115240,-4.618319511413574
1519853303.5959423,115245,-6.071803569793701
1519853303.6261642,115255,-5.1308135986328125
1519853303.6664357,115275,-4.364669322967529
1519853303.7089722,115295,-4.618692874908447
1519853303.731979,115300,-5.251077175140381
1519854867.8553765,115310,-4.636918544769287
1519854867.8686152,115315,-3.995281457901001
1519854867.8836749,115320,-4.990077495574951
1519854867.8961055,115325,-3.654965400695801
1519854868.0486064,115385,-5.080653667449951
1519856436.5714018,115405,-4.6869587898254395
1519856436.5727673,115410,-2.899216651916504
